cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;populacao;n_medicos;TAXA_MEDICOS;ANO;MES
170025;1700251;Abreulândia;TO;2576;1;0.3881987577639751;2021;0
170030;1700301;Aguiarnópolis;TO;4497;1;0.22237046920169;2021;0
170035;1700350;Aliança do Tocantins;TO;5147;2;0.3885758694385079;2021;0
170040;1700400;Almas;TO;6499;2;0.307739652254193;2021;0
170070;1700707;Alvorada;TO;8802;2;0.22722108611679165;2021;0
170100;1701002;Ananás;TO;10325;2;0.1937046004842615;2021;0
170105;1701051;Angico;TO;2876;1;0.3477051460361613;2021;0
170110;1701101;Aparecida do Rio Negro;TO;4856;2;0.41186161449752884;2021;0
170130;1701309;Aragominas;TO;5290;1;0.1890359168241966;2021;0
170190;1701903;Araguacema;TO;5927;2;0.3374388392103931;2021;0
170200;1702000;Araguaçu;TO;8133;2;0.24591171769334808;2021;0
170210;1702109;Araguaína;TO;171301;2;0.01167535507673627;2021;0
170215;1702158;Araguanã;TO;4310;2;0.46403712296983757;2021;0
170220;1702208;Araguatins;TO;31918;2;0.0626605677047434;2021;0
170230;1702307;Arapoema;TO;5550;2;0.36036036036036034;2021;0
170240;1702406;Arraias;TO;10287;2;0.1944201419267036;2021;0
170255;1702554;Augustinópolis;TO;17484;2;0.11439029970258523;2021;0
170270;1702703;Aurora do Tocantins;TO;3342;1;0.2992220227408737;2021;0
170290;1702901;Axixá do Tocantins;TO;10262;2;0.19489378288832584;2021;0
170300;1703008;Babaçulândia;TO;7880;2;0.2538071065989848;2021;0
170305;1703057;Bandeirantes do Tocantins;TO;3407;2;0.587026709715292;2021;0
170307;1703073;Barra do Ouro;TO;4476;1;0.22341376228775692;2021;0
170310;1703107;Barrolândia;TO;4846;2;0.41271151465125877;2021;0
170320;1703206;Bernardo Sayão;TO;4229;2;0.4729250413809411;2021;0
170330;1703305;Bom Jesus do Tocantins;TO;4038;2;0.49529470034670625;2021;0
170360;1703602;Brasilândia do Tocantins;TO;1974;1;0.5065856129685917;2021;0
170370;1703701;Brejinho de Nazaré;TO;4725;2;0.4232804232804233;2021;0
170380;1703800;Buriti do Tocantins;TO;10307;2;0.1940428834772485;2021;0
170382;1703826;Cachoeirinha;TO;1961;1;0.5099439061703213;2021;0
170384;1703842;Campos Lindos;TO;8653;1;0.11556685542586387;2021;0
170386;1703867;Cariri do Tocantins;TO;4007;2;0.4991265285749938;2021;0
170388;1703883;Carmolândia;TO;2201;1;0.45433893684688775;2021;0
170389;1703891;Carrasco Bonito;TO;3318;2;0.6027727546714888;2021;0
170390;1703909;Caseara;TO;4847;1;0.20631318341242005;2021;0
170410;1704105;Centenário;TO;2131;2;0.9385265133740027;2021;0
170460;1704600;Chapada de Areia;TO;1501;1;0.6662225183211192;2021;0
170510;1705102;Chapada da Natividade;TO;3117;1;0.32082130253448826;2021;0
170550;1705508;Colinas do Tocantins;TO;34233;2;0.0584231589402039;2021;0
170555;1705557;Combinado;TO;4756;1;0.21026072329688814;2021;0
170560;1705607;Conceição do Tocantins;TO;3887;2;0.5145356315924878;2021;0
170600;1706001;Couto Magalhães;TO;5331;2;0.37516413430876006;2021;0
170610;1706100;Cristalândia;TO;6371;2;0.31392246115209543;2021;0
170625;1706258;Crixás do Tocantins;TO;1470;1;0.6802721088435374;2021;0
170650;1706506;Darcinópolis;TO;5827;2;0.3432297923459756;2021;0
170700;1707009;Dianópolis;TO;17739;2;0.1127459270533852;2021;0
170710;1707108;Divinópolis do Tocantins;TO;7024;2;0.2847380410022779;2021;0
170720;1707207;Dois Irmãos do Tocantins;TO;6327;2;0.316105579263474;2021;0
170730;1707306;Dueré;TO;4248;2;0.4708097928436911;2021;0
170740;1707405;Esperantina;TO;7530;2;0.2656042496679947;2021;0
170755;1707553;Fátima;TO;3467;2;0.5768676088837611;2021;0
170765;1707652;Figueirópolis;TO;5211;2;0.38380349261178276;2021;0
170770;1707702;Filadélfia;TO;7712;2;0.25933609958506226;2021;0
170820;1708205;Formoso do Araguaia;TO;18881;2;0.1059265928711403;2021;0
170825;1708254;Tabocão;TO;3455;2;0.5788712011577424;2021;0
170830;1708304;Goianorte;TO;4738;2;0.4221190375685943;2021;0
170900;1709005;Goiatins;TO;12433;2;0.16086222150727902;2021;0
170930;1709302;Guaraí;TO;24775;2;0.08072653884964683;2021;0
170950;1709500;Gurupi;TO;85125;2;0.023494860499265784;2021;0
170980;1709807;Ipueiras;TO;1590;1;0.6289308176100629;2021;0
171050;1710508;Itacajá;TO;6819;2;0.2932981375568265;2021;0
171070;1710706;Itaguatins;TO;5172;1;0.19334880123743234;2021;0
171090;1710904;Itapiratins;TO;3577;2;0.5591277606933184;2021;0
171110;1711100;Itaporã do Tocantins;TO;2404;2;0.831946755407654;2021;0
171150;1711506;Jaú do Tocantins;TO;3334;2;0.5998800239952009;2021;0
171180;1711803;Juarina;TO;2243;2;0.8916629514043691;2021;0
171190;1711902;Lagoa da Confusão;TO;15288;2;0.13082155939298798;2021;0
171195;1711951;Lagoa do Tocantins;TO;3516;2;0.5688282138794084;2021;0
171200;1712009;Lajeado;TO;3357;2;0.5957700327673517;2021;0
171215;1712157;Lavandeira;TO;1626;2;1.2300123001230012;2021;0
171240;1712405;Lizarda;TO;2999;2;0.6668889629876625;2021;0
171245;1712454;Luzinópolis;TO;2717;2;0.736105999263894;2021;0
171250;1712504;Marianópolis do Tocantins;TO;4615;2;0.4333694474539545;2021;0
171270;1712702;Mateiros;TO;2748;2;0.727802037845706;2021;0
171280;1712801;Maurilândia do Tocantins;TO;3095;2;0.6462035541195477;2021;0
171320;1713205;Miracema do Tocantins;TO;18566;2;0.10772379618657761;2021;0
171330;1713304;Miranorte;TO;12701;2;0.15746791591213288;2021;0
171360;1713601;Monte do Carmo;TO;5694;2;0.3512469265893923;2021;0
171370;1713700;Monte Santo do Tocantins;TO;2396;2;0.8347245409015025;2021;0
171380;1713809;Palmeiras do Tocantins;TO;4872;2;0.41050903119868637;2021;0
171395;1713957;Muricilândia;TO;3367;2;0.5940005940005939;2021;0
171420;1714203;Natividade;TO;8754;2;0.2284669865204478;2021;0
171430;1714302;Nazaré;TO;4521;2;0.44238000442380004;2021;0
171488;1714880;Nova Olinda;TO;10367;2;0.1929198418057297;2021;0
171500;1715002;Nova Rosalândia;TO;3362;2;0.5948839976204641;2021;0
171510;1715101;Novo Acordo;TO;3969;2;0.5039052658100278;2021;0
171515;1715150;Novo Alegre;TO;1846;2;1.0834236186348862;2021;0
171525;1715259;Novo Jardim;TO;2230;1;0.4484304932735426;2021;0
171550;1715507;Oliveira de Fátima;TO;1164;1;0.8591065292096219;2021;0
171570;1715705;Palmeirante;TO;4798;2;0.41684035014589416;2021;0
171575;1715754;Palmeirópolis;TO;6975;2;0.2867383512544803;2021;0
171610;1716109;Paraíso do Tocantins;TO;52360;2;0.03819709702062643;2021;0
171620;1716208;Paranã;TO;10542;2;0.1897173211914248;2021;0
171630;1716307;Pau D'Arco;TO;4043;2;0.4946821667078902;2021;0
171650;1716505;Pedro Afonso;TO;14055;2;0.14229811454998223;2021;0
171660;1716604;Peixe;TO;9317;2;0.2146613716861651;2021;0
171665;1716653;Pequizeiro;TO;4921;2;0.406421459053038;2021;0
171670;1716703;Colméia;TO;8941;2;0.2236886254333967;2021;0
171700;1717008;Pindorama do Tocantins;TO;4478;2;0.4466279589102278;2021;0
171720;1717206;Piraquê;TO;2282;2;0.8764241893076249;2021;0
171750;1717503;Pium;TO;7128;2;0.28058361391694725;2021;0
171780;1717800;Ponte Alta do Bom Jesus;TO;4220;2;0.47393364928909953;2021;0
171790;1717909;Ponte Alta do Tocantins;TO;7586;2;0.2636435539151068;2021;0
171800;1718006;Porto Alegre do Tocantins;TO;2866;1;0.34891835310537334;2021;0
171820;1718204;Porto Nacional;TO;64418;2;0.031047222825918222;2021;0
171830;1718303;Praia Norte;TO;9044;2;0.22114108801415305;2021;0
171840;1718402;Presidente Kennedy;TO;3047;2;0.6563833278634722;2021;0
171845;1718451;Pugmil;TO;2193;1;0.45599635202918376;2021;0
171850;1718501;Recursolândia;TO;3421;1;0.29231218941829873;2021;0
171855;1718550;Riachinho;TO;3960;2;0.5050505050505051;2021;0
171865;1718659;Rio da Conceição;TO;1768;2;1.1312217194570138;2021;0
171870;1718709;Rio dos Bois;TO;2738;1;0.36523009495982467;2021;0
171875;1718758;Rio Sono;TO;4841;2;0.4131377814501136;2021;0
171880;1718808;Sampaio;TO;4215;2;0.47449584816132856;2021;0
171884;1718840;Sandolândia;TO;3723;2;0.5372011818426;2021;0
171886;1718865;Santa Fé do Araguaia;TO;7216;2;0.2771618625277162;2021;0
171888;1718881;Santa Maria do Tocantins;TO;2680;2;0.746268656716418;2021;0
171889;1718899;Santa Rita do Tocantins;TO;2219;2;0.9013068949977467;2021;0
171890;1718907;Santa Rosa do Tocantins;TO;4653;2;0.4298302170642596;2021;0
171900;1719004;Santa Tereza do Tocantins;TO;2781;2;0.719165767709457;2021;0
172000;1720002;Santa Terezinha do Tocantins;TO;2406;1;0.41562759767248547;2021;0
172010;1720101;São Bento do Tocantins;TO;5654;2;0.3537318712415989;2021;0
172015;1720150;São Félix do Tocantins;TO;1783;1;0.5608524957936063;2021;0
172020;1720200;São Miguel do Tocantins;TO;13241;2;0.15104599350502226;2021;0
172025;1720259;São Salvador do Tocantins;TO;2385;2;0.8385744234800838;2021;0
172030;1720309;São Sebastião do Tocantins;TO;4100;2;0.4878048780487805;2021;0
172049;1720499;São Valério;TO;4422;2;0.4522840343735866;2021;0
172065;1720655;Silvanópolis;TO;5108;2;0.39154267815191857;2021;0
172080;1720804;Sítio Novo do Tocantins;TO;10830;2;0.18467220683287164;2021;0
172085;1720853;Sucupira;TO;1577;2;1.2682308180088777;2021;0
172090;1720903;Taguatinga;TO;14011;2;0.14274498608236386;2021;0
172093;1720937;Taipas do Tocantins;TO;2021;1;0.4948045522018803;2021;0
172097;1720978;Talismã;TO;2456;2;0.8143322475570033;2021;0
172100;1721000;Palmas;TO;302692;2;0.006607376475096798;2021;0
172110;1721109;Tocantínia;TO;7459;2;0.2681324574339724;2021;0
172120;1721208;Tocantinópolis;TO;22615;2;0.08843687817820031;2021;0
172125;1721257;Tupirama;TO;1909;1;0.5238344683080147;2021;0
172130;1721307;Tupiratins;TO;1874;2;1.0672358591248667;2021;0
172208;1722081;Wanderlândia;TO;10522;2;0.19007793195210038;2021;0
172210;1722107;Xambioá;TO;10517;2;0.19016829894456594;2021;0
170025;1700251;Abreulândia;TO;2576;2;0.7763975155279502;2022;0
170030;1700301;Aguiarnópolis;TO;4497;1;0.22237046920169;2022;0
170035;1700350;Aliança do Tocantins;TO;5147;2;0.3885758694385079;2022;0
170040;1700400;Almas;TO;6499;2;0.307739652254193;2022;0
170070;1700707;Alvorada;TO;8802;2;0.22722108611679165;2022;0
170100;1701002;Ananás;TO;10325;2;0.1937046004842615;2022;0
170105;1701051;Angico;TO;2876;2;0.6954102920723226;2022;0
170110;1701101;Aparecida do Rio Negro;TO;4856;2;0.41186161449752884;2022;0
170130;1701309;Aragominas;TO;5290;1;0.1890359168241966;2022;0
170190;1701903;Araguacema;TO;5927;2;0.3374388392103931;2022;0
170200;1702000;Araguaçu;TO;8133;2;0.24591171769334808;2022;0
170210;1702109;Araguaína;TO;171301;2;0.01167535507673627;2022;0
170215;1702158;Araguanã;TO;4310;2;0.46403712296983757;2022;0
170220;1702208;Araguatins;TO;31918;2;0.0626605677047434;2022;0
170230;1702307;Arapoema;TO;5550;2;0.36036036036036034;2022;0
170240;1702406;Arraias;TO;10287;2;0.1944201419267036;2022;0
170255;1702554;Augustinópolis;TO;17484;2;0.11439029970258523;2022;0
170270;1702703;Aurora do Tocantins;TO;3342;1;0.2992220227408737;2022;0
170290;1702901;Axixá do Tocantins;TO;10262;2;0.19489378288832584;2022;0
170300;1703008;Babaçulândia;TO;7880;2;0.2538071065989848;2022;0
170305;1703057;Bandeirantes do Tocantins;TO;3407;2;0.587026709715292;2022;0
170307;1703073;Barra do Ouro;TO;4476;2;0.44682752457551383;2022;0
170310;1703107;Barrolândia;TO;4846;2;0.41271151465125877;2022;0
170320;1703206;Bernardo Sayão;TO;4229;2;0.4729250413809411;2022;0
170330;1703305;Bom Jesus do Tocantins;TO;4038;2;0.49529470034670625;2022;0
170360;1703602;Brasilândia do Tocantins;TO;1974;1;0.5065856129685917;2022;0
170370;1703701;Brejinho de Nazaré;TO;4725;2;0.4232804232804233;2022;0
170380;1703800;Buriti do Tocantins;TO;10307;2;0.1940428834772485;2022;0
170382;1703826;Cachoeirinha;TO;1961;1;0.5099439061703213;2022;0
170384;1703842;Campos Lindos;TO;8653;2;0.23113371085172774;2022;0
170386;1703867;Cariri do Tocantins;TO;4007;2;0.4991265285749938;2022;0
170388;1703883;Carmolândia;TO;2201;1;0.45433893684688775;2022;0
170389;1703891;Carrasco Bonito;TO;3318;2;0.6027727546714888;2022;0
170390;1703909;Caseara;TO;4847;2;0.4126263668248401;2022;0
170410;1704105;Centenário;TO;2131;1;0.46926325668700136;2022;0
170460;1704600;Chapada de Areia;TO;1501;2;1.3324450366422385;2022;0
170510;1705102;Chapada da Natividade;TO;3117;1;0.32082130253448826;2022;0
170550;1705508;Colinas do Tocantins;TO;34233;2;0.0584231589402039;2022;0
170555;1705557;Combinado;TO;4756;1;0.21026072329688814;2022;0
170560;1705607;Conceição do Tocantins;TO;3887;2;0.5145356315924878;2022;0
170600;1706001;Couto Magalhães;TO;5331;2;0.37516413430876006;2022;0
170610;1706100;Cristalândia;TO;6371;2;0.31392246115209543;2022;0
170625;1706258;Crixás do Tocantins;TO;1470;1;0.6802721088435374;2022;0
170650;1706506;Darcinópolis;TO;5827;2;0.3432297923459756;2022;0
170700;1707009;Dianópolis;TO;17739;2;0.1127459270533852;2022;0
170710;1707108;Divinópolis do Tocantins;TO;7024;2;0.2847380410022779;2022;0
170720;1707207;Dois Irmãos do Tocantins;TO;6327;2;0.316105579263474;2022;0
170730;1707306;Dueré;TO;4248;2;0.4708097928436911;2022;0
170740;1707405;Esperantina;TO;7530;2;0.2656042496679947;2022;0
170755;1707553;Fátima;TO;3467;1;0.28843380444188055;2022;0
170765;1707652;Figueirópolis;TO;5211;2;0.38380349261178276;2022;0
170770;1707702;Filadélfia;TO;7712;2;0.25933609958506226;2022;0
170820;1708205;Formoso do Araguaia;TO;18881;2;0.1059265928711403;2022;0
170825;1708254;Tabocão;TO;3455;2;0.5788712011577424;2022;0
170830;1708304;Goianorte;TO;4738;2;0.4221190375685943;2022;0
170900;1709005;Goiatins;TO;12433;2;0.16086222150727902;2022;0
170930;1709302;Guaraí;TO;24775;2;0.08072653884964683;2022;0
170950;1709500;Gurupi;TO;85125;2;0.023494860499265784;2022;0
170980;1709807;Ipueiras;TO;1590;1;0.6289308176100629;2022;0
171050;1710508;Itacajá;TO;6819;2;0.2932981375568265;2022;0
171070;1710706;Itaguatins;TO;5172;2;0.3866976024748647;2022;0
171090;1710904;Itapiratins;TO;3577;1;0.2795638803466592;2022;0
171110;1711100;Itaporã do Tocantins;TO;2404;2;0.831946755407654;2022;0
171150;1711506;Jaú do Tocantins;TO;3334;2;0.5998800239952009;2022;0
171180;1711803;Juarina;TO;2243;1;0.44583147570218457;2022;0
171190;1711902;Lagoa da Confusão;TO;15288;2;0.13082155939298798;2022;0
171195;1711951;Lagoa do Tocantins;TO;3516;2;0.5688282138794084;2022;0
171200;1712009;Lajeado;TO;3357;2;0.5957700327673517;2022;0
171215;1712157;Lavandeira;TO;1626;2;1.2300123001230012;2022;0
171240;1712405;Lizarda;TO;2999;1;0.33344448149383127;2022;0
171245;1712454;Luzinópolis;TO;2717;2;0.736105999263894;2022;0
171250;1712504;Marianópolis do Tocantins;TO;4615;2;0.4333694474539545;2022;0
171270;1712702;Mateiros;TO;2748;2;0.727802037845706;2022;0
171280;1712801;Maurilândia do Tocantins;TO;3095;2;0.6462035541195477;2022;0
171320;1713205;Miracema do Tocantins;TO;18566;2;0.10772379618657761;2022;0
171330;1713304;Miranorte;TO;12701;2;0.15746791591213288;2022;0
171360;1713601;Monte do Carmo;TO;5694;2;0.3512469265893923;2022;0
171370;1713700;Monte Santo do Tocantins;TO;2396;2;0.8347245409015025;2022;0
171380;1713809;Palmeiras do Tocantins;TO;4872;2;0.41050903119868637;2022;0
171395;1713957;Muricilândia;TO;3367;2;0.5940005940005939;2022;0
171420;1714203;Natividade;TO;8754;2;0.2284669865204478;2022;0
171430;1714302;Nazaré;TO;4521;2;0.44238000442380004;2022;0
171488;1714880;Nova Olinda;TO;10367;2;0.1929198418057297;2022;0
171500;1715002;Nova Rosalândia;TO;3362;2;0.5948839976204641;2022;0
171510;1715101;Novo Acordo;TO;3969;2;0.5039052658100278;2022;0
171515;1715150;Novo Alegre;TO;1846;1;0.5417118093174431;2022;0
171525;1715259;Novo Jardim;TO;2230;1;0.4484304932735426;2022;0
171550;1715507;Oliveira de Fátima;TO;1164;1;0.8591065292096219;2022;0
171570;1715705;Palmeirante;TO;4798;2;0.41684035014589416;2022;0
171575;1715754;Palmeirópolis;TO;6975;2;0.2867383512544803;2022;0
171610;1716109;Paraíso do Tocantins;TO;52360;2;0.03819709702062643;2022;0
171620;1716208;Paranã;TO;10542;2;0.1897173211914248;2022;0
171630;1716307;Pau D'Arco;TO;4043;2;0.4946821667078902;2022;0
171650;1716505;Pedro Afonso;TO;14055;2;0.14229811454998223;2022;0
171660;1716604;Peixe;TO;9317;2;0.2146613716861651;2022;0
171665;1716653;Pequizeiro;TO;4921;2;0.406421459053038;2022;0
171670;1716703;Colméia;TO;8941;2;0.2236886254333967;2022;0
171700;1717008;Pindorama do Tocantins;TO;4478;2;0.4466279589102278;2022;0
171720;1717206;Piraquê;TO;2282;2;0.8764241893076249;2022;0
171750;1717503;Pium;TO;7128;2;0.28058361391694725;2022;0
171780;1717800;Ponte Alta do Bom Jesus;TO;4220;2;0.47393364928909953;2022;0
171790;1717909;Ponte Alta do Tocantins;TO;7586;2;0.2636435539151068;2022;0
171800;1718006;Porto Alegre do Tocantins;TO;2866;2;0.6978367062107467;2022;0
171820;1718204;Porto Nacional;TO;64418;2;0.031047222825918222;2022;0
171830;1718303;Praia Norte;TO;9044;2;0.22114108801415305;2022;0
171840;1718402;Presidente Kennedy;TO;3047;2;0.6563833278634722;2022;0
171845;1718451;Pugmil;TO;2193;1;0.45599635202918376;2022;0
171850;1718501;Recursolândia;TO;3421;2;0.5846243788365975;2022;0
171855;1718550;Riachinho;TO;3960;2;0.5050505050505051;2022;0
171865;1718659;Rio da Conceição;TO;1768;1;0.5656108597285069;2022;0
171870;1718709;Rio dos Bois;TO;2738;2;0.7304601899196493;2022;0
171875;1718758;Rio Sono;TO;4841;2;0.4131377814501136;2022;0
171880;1718808;Sampaio;TO;4215;2;0.47449584816132856;2022;0
171884;1718840;Sandolândia;TO;3723;2;0.5372011818426;2022;0
171886;1718865;Santa Fé do Araguaia;TO;7216;2;0.2771618625277162;2022;0
171888;1718881;Santa Maria do Tocantins;TO;2680;1;0.373134328358209;2022;0
171889;1718899;Santa Rita do Tocantins;TO;2219;2;0.9013068949977467;2022;0
171890;1718907;Santa Rosa do Tocantins;TO;4653;2;0.4298302170642596;2022;0
171900;1719004;Santa Tereza do Tocantins;TO;2781;1;0.3595828838547285;2022;0
172000;1720002;Santa Terezinha do Tocantins;TO;2406;2;0.8312551953449709;2022;0
172010;1720101;São Bento do Tocantins;TO;5654;1;0.17686593562079944;2022;0
172015;1720150;São Félix do Tocantins;TO;1783;2;1.1217049915872126;2022;0
172020;1720200;São Miguel do Tocantins;TO;13241;2;0.15104599350502226;2022;0
172025;1720259;São Salvador do Tocantins;TO;2385;2;0.8385744234800838;2022;0
172030;1720309;São Sebastião do Tocantins;TO;4100;2;0.4878048780487805;2022;0
172049;1720499;São Valério;TO;4422;2;0.4522840343735866;2022;0
172065;1720655;Silvanópolis;TO;5108;2;0.39154267815191857;2022;0
172080;1720804;Sítio Novo do Tocantins;TO;10830;2;0.18467220683287164;2022;0
172085;1720853;Sucupira;TO;1577;2;1.2682308180088777;2022;0
172090;1720903;Taguatinga;TO;14011;2;0.14274498608236386;2022;0
172093;1720937;Taipas do Tocantins;TO;2021;1;0.4948045522018803;2022;0
172097;1720978;Talismã;TO;2456;2;0.8143322475570033;2022;0
172100;1721000;Palmas;TO;302692;2;0.006607376475096798;2022;0
172110;1721109;Tocantínia;TO;7459;2;0.2681324574339724;2022;0
172120;1721208;Tocantinópolis;TO;22615;2;0.08843687817820031;2022;0
172125;1721257;Tupirama;TO;1909;2;1.0476689366160294;2022;0
172130;1721307;Tupiratins;TO;1874;1;0.5336179295624334;2022;0
172208;1722081;Wanderlândia;TO;10522;2;0.19007793195210038;2022;0
172210;1722107;Xambioá;TO;10517;2;0.19016829894456594;2022;0
